chembl_id,smiles,mw,logp
CHEMBL444434,CC(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(C)=O,346.34,2.5
CHEMBL438132,CCN(CC)c1nc(Cc2c(F)cccc2F)cc(=O)[nH]1,293.32,2.49
CHEMBL263329,c1cc2c(c(N3CCN(CCCCCc4c[nH]c5ccccc45)CC3)c1)OCCO2,405.54,4.47
CHEMBL265564,CN(C)CCNC(=O)C(=O)CCCCCCOc1ccc(-c2ccccc2)cc1,396.53,3.93
CHEMBL4116001,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)CN1,426.5,2.28
CHEMBL440085,COc1noc2c1CN(C)CC2.Cl,204.66,1.09
CHEMBL443886,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3cnn(C)c3)n2n1,362.4,2.33
CHEMBL268086,CCNc1cccnc1N1CCN(C(=O)c2cnc3ccccc3c2)CC1,361.45,3.02
CHEMBL264521,CCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c(=O)c2ccccc21,392.54,4.75
CHEMBL500790,OC(/C=C/C=C/c1ccccc1)CCc1ccccc1,264.37,4.25
CHEMBL500798,Cl.c1ccc(CCC2=NOC(c3ccccc3)C2)cc1,287.79,4.56
CHEMBL444736,CCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O,240.35,1.6
CHEMBL444924,O=C(CCc1ccc(F)cc1)N[C@H]1CCOC1=O,251.26,1.19
CHEMBL267832,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)cc1,446.51,3.12
CHEMBL268339,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,407.29,3.26
CHEMBL438024,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c(-c2cc(OC)ccc2OC)nc2sccn12,483.55,3.66
CHEMBL155926,Cl/C=C/CCl,110.97,1.98
CHEMBL216546,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1,424.22,2.79
CHEMBL262244,CC1CCN(C(=O)[C@H](CCCNc2ccccn2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,480.63,4.03
CHEMBL262399,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N2C(c3ccccc3)c3[nH]c4ccccc4c3C[C@@H]12,460.54,4.23
CHEMBL262267,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21,424.52,3.26
CHEMBL1205372,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1,290.75,3.84
CHEMBL498871,CCS(=O)(=O)c1ccc2oc(Cc3ccc(C)cc3)nc2c1,315.39,3.52
CHEMBL499906,CCCNC(=O)[C@H](N)[C@@H](O)c1ccc([N+](=O)[O-])cc1,267.28,0.48
CHEMBL503603,CCOc1cc2cc3[n+](cc2cc1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],385.85,0.49
CHEMBL503725,CCOC(=O)C(O)(c1ccc[nH]1)C(F)(F)F,237.18,1.33
CHEMBL385384,CCc1c(C#N)c(-c2ccc(-c3ccc(OC)cc3)cc2)c(C(=O)O)n1C,360.41,4.5
CHEMBL383917,Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,361.42,0.83
CHEMBL527552,CC1=NOC(=O)/C1=C\c1cccs1,193.23,2.06
CHEMBL503559,CCN(CC)Cc1c[nH]c(C)c(O)c1=O,210.28,1.23
CHEMBL265830,Cn1c(CSCC(=O)Nc2ccccc2)nnc1SCC(=O)Nc1ccccc1,427.56,3.42
CHEMBL4116111,CC(C)(N)CNC(=O)C[C@@H]1CCC[C@]2(C1)OOC1(O2)C2CC3CC(C2)CC1C3,392.54,3.25
CHEMBL1203140,COc1ccccc1N1CCN(CC(O)c2ccc(O)c(C(N)=O)c2)CC1.Cl,407.9,1.78
CHEMBL500627,CCCN1CCO[C@H]2c3cc(C(N)=O)ccc3CC[C@@H]21,274.36,1.88
CHEMBL501070,Fc1ccc(-c2nn3cc(Cl)ccc3c2-c2ccncc2)cc1,323.76,4.86
CHEMBL1782891,CN1C(=O)[C@@H](N)CCCC/C=C/C[C@@H](C(=O)NCc2ccccc2)NC(=O)[C@@H]1Cc1ccc(O)cc1,492.62,2.41
CHEMBL500064,Cl.O=C(Nc1ccc(C2=NCCN2)cn1)c1sc2ccccc2c1Cl,393.3,3.97
CHEMBL263879,CCN(CC)/C(=N\C#N)C1=CC(C)(C)Oc2ccc([N+](=O)[O-])cc21,328.37,3.37
CHEMBL264055,CC(C)(C)c1ccc(C(=O)NC(=O)Nc2cccc(C3CN4CCSC4=N3)c2)cc1,422.55,4.41
CHEMBL265362,COc1cccc(CN2CCC[C@@H]2[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c1,432.61,4.78
CHEMBL385868,CCN1C(N(C)C)=Nc2ccccc2C1CC(=O)NCc1ccccc1,350.47,3.32
CHEMBL504184,O=C(O)[C@H]1C[C@@H](O)CCN1,145.16,-0.82
CHEMBL504192,COC(=O)[C@H](CC(C)C)N1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)CN2C1(C)C,383.49,3.06
CHEMBL505806,O=C(/C=C/c1ccc(/C=N/OCc2ccccc2)cc1)NO,296.33,2.76
CHEMBL503623,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc2ccccc2s1,309.35,3.57
CHEMBL4116124,CCN1CCN(CCCCOC(=O)c2cc(O)c3c(c2)C(=O)c2cccc(O)c2C3=O)CC1,452.51,2.45
CHEMBL269289,COc1ccc([C@]2(C#N)C[C@H]3C[C@@H](C(=O)O)C[C@H]3C2)cc1OCC1CC1,355.43,3.77
CHEMBL386654,C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,327.43,1.18
CHEMBL439267,Cc1ccc(C(N)=O)cc1Nc1ncnc2c1cnn2-c1ccccc1,344.38,2.97
CHEMBL439400,CC(C)C[C@@H](C(=O)O)N1C(=O)C(=C(c2ccccc2)c2ccccc2)SC1=S,411.55,4.81
CHEMBL525996,COc1ccccc1N1CCN(CCCN2C(=O)C3Sc4ccccc4C3N(C)C2=O)CC1,466.61,3.32
CHEMBL4116125,O=C(OCCCN1CCCCC1)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,409.44,2.91
CHEMBL154392,CC(C)OC(=O)C(C)CNC(=O)[C@H](N)CC(=O)O,260.29,-0.51
CHEMBL527864,CN1CCN(c2ccc(Nc3ncc(C#N)c(Nc4ccccc4C(N)=O)n3)cc2)CC1,428.5,2.69
CHEMBL503400,COc1cnc(-c2ccc(O)c(O)c2)o1,207.18,1.76
CHEMBL500090,c1csc(CNC23CC4CC(CC2C4)C3)c1,233.38,3.42
CHEMBL500236,Cc1cccc(OCc2cn(CCn3c([N+](=O)[O-])cnc3C)nn2)c1,342.36,2.28
CHEMBL501701,N=C(N)NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,311.78,0.72
CHEMBL501770,Cc1ccc(Cl)c(S(=O)(=O)NC(CCC(N)=O)C(N)=O)c1,333.8,0.05
CHEMBL154463,CCC[C@@H](COC(=O)CC)NC(=O)[C@H](N)CC(=O)O,274.32,0.03
CHEMBL541498,CC(=O)/C=C(\O)c1cccnc1,163.18,1.57
CHEMBL4116121,CN(C/C=C/c1cccc(F)c1)Cc1cccc2cc[nH]c12,294.37,4.45
CHEMBL544585,Br.Oc1cc(C2CNCCc3c2cc(O)c(O)c3Cl)ccc1Cl,421.12,3.97
CHEMBL538928,O=c1oc(-c2ccccc2F)cc2c1sc1ccccc12,296.32,4.81
CHEMBL539185,CC1CCN(C(=O)c2ccc(C#Cc3ccccc3)cc2)CC1,303.41,3.96
CHEMBL539138,COc1cc(C(=O)N/N=C2\C(=O)Nc3c(Cl)cc(Cl)cc32)cc(OC)c1OC,424.24,3.11
CHEMBL508166,CS/C=C(/C)n1c(C(=O)c2ccc(Br)cc2)noc1=O,355.21,3.01
CHEMBL508224,C/C=C/C=C/C(=O)O[C@H]1CCCC[C@H](O)[C@H](O)[C@@H](CCC)OC1=O,340.42,2.04
CHEMBL503469,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21,358.35,3.2
CHEMBL500079,CCCCCOc1ccc(Oc2ccc(O)cc2)cc1,272.34,4.75
CHEMBL500207,COc1cc(-n2cc(C(C)=O)c3ccccc32)ccc1C(N)=O,308.34,2.94
CHEMBL507116,CC(C)P(=O)(O)C1=CCC(N)C1,189.19,1.67
CHEMBL540488,N#Cc1c(O)nc(N)nc1-c1ccccc1[N+](=O)[O-],257.21,1.21
CHEMBL549128,CN(C)CCOc1cc(NC(=O)Nc2cccc([N+](=O)[O-])c2)ccc1I,470.27,3.78
CHEMBL503770,C/C=C/CCCC(C)/C(O)=C1\C(=O)[C@H]([C@H](C)O)N(C)C1=O,295.38,1.97
CHEMBL503802,O=C(O)/C(O)=C/C(=O)c1ccnc2ccccc12,243.22,1.94
CHEMBL503411,C=CC[C@@H](OC(=O)C=C)c1ccc(C)c2ccccc12,266.34,4.49
CHEMBL507207,CC[C@H](C)[C@@H](CO)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,325.35,2.39
CHEMBL503660,O=C(O)CNC(=O)Sc1ccccn1,212.23,0.97
CHEMBL4116113,CCCC(=O)OC(Cn1ccnc1)c1ccc(Cl)cc1,292.77,3.62
CHEMBL522887,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,309.42,3.61
CHEMBL526377,O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,324.29,-1.03
CHEMBL503702,C=C1C(=O)O[C@H]2/C=C(\C)CC/C=C(\C)C[C@H](O)[C@@H]12,248.32,2.52
CHEMBL503818,NS(=O)(=O)c1ccc(C(=O)Oc2cncc(Cl)c2)cc1,312.73,1.6
CHEMBL4116116,COc1ccc(C(=O)C[n+]2c(C)n(Cc3c4c(cc5c3OCC5)OCC4)c3ccccc32)cc1,455.53,4.05
CHEMBL502461,N#CC1(c2ccccc2)CCN(CCCc2ccccc2)CC1,304.44,4.18
CHEMBL503030,O=C(O)c1n[nH]c2c1OCC2,154.12,0.04
CHEMBL531595,Cc1nc2nc(N)nc(N)c2c(C)c1Cc1ccccc1Cl.Cl,350.25,3.47
CHEMBL154209,COCCn1cnc2c(O)nc(Nc3ccccc3)nc21,285.31,1.92
CHEMBL541754,O=C(Nc1cccc(OC(F)F)c1)c1ccccn1,264.23,2.94
CHEMBL539434,C[C@H](C(=O)NCCc1ccccc1O)c1cccc(Oc2ccccc2)c1,361.44,4.65
CHEMBL526908,COc1ccc2c(O)cc(OC)c(O)c2c1O,236.22,1.97
CHEMBL1205831,O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1,365.48,2.34
CHEMBL154556,CCCC[C@H](CC)NC(=O)[C@H](N)CC(=O)O,230.31,0.87
CHEMBL501251,COc1cc(O)cc2c1C(=O)CC(c1ccc(O)cc1)O2,286.28,2.81
CHEMBL501256,Nc1ncnc2c1ncn2CC(=O)c1cccnc1,254.25,0.69
CHEMBL507307,C1=CC(CCNc2ncnc3[nH]cnc23)CCC1,243.31,2.51
CHEMBL507464,N#Cc1c(N)nc(Sc2ccc(O)cc2)c(C#N)c1-c1ccc(Cl)cc1,378.84,4.58
CHEMBL540951,COc1cc(CNc2ccc(C(C)C)cc2)cc(OC)c1OC.Cl,351.87,4.87
